Spanish,English
ser,to be
estar,to be (location)
tener,to have
hacer,to do
poder,can
decir,to say
ir,to go
ver,to see
dar,to give
saber,to know
querer,to want
llegar,to arrive
pasar,to pass
deber,must
poner,to put
parecer,to seem
quedar,to stay
creer,to believe
hablar,to speak
llevar,to carry
dejar,to leave
seguir,to follow
encontrar,to find
llamar,to call
venir,to come
pensar,to think
salir,to leave
volver,to return
tomar,to take
conocer,to know
vivir,to live
sentir,to feel
tratar,to try
mirar,to look
contar,to count
empezar,to start
esperar,to wait
buscar,to search
existir,to exist
entrar,to enter
tiempo,time
año,year
día,day
hombre,man
mujer,woman
niño,child
mano,hand
mundo,world
casa,house
país,country
vida,life
trabajo,work
pregunta,question
camino,way
escuela,school
ciudad,city
agua,water
libro,book
dinero,money
comida,food
familia,family
amigo,friend
voz,voice
corazón,heart
cabeza,head
ojo,eye
boca,mouth
noche,night
mañana,morning
tarde,evening
aquí,here
allí,there
ahora,now
luego,then
todavía,still
también,also
ya,already
solo,only
muy,very
sí,yes
no,no
por favor,please
gracias,thank you
perdón,excuse me
quizás,maybe
siempre,always
nunca,never
hoy,today
ayer,yesterday
coche,car
tren,train
teléfono,phone
música,music
color,color
animal,animal
