German,English
sein,to be
haben,to have
werden,to become
können,can
müssen,must
sagen,to say
machen,to make
gehen,to go
kommen,to come
wollen,to want
sehen,to see
lassen,to let
stehen,to stand
finden,to find
bleiben,to stay
liegen,to lie
heißen,to be called
denken,to think
nehmen,to take
tun,to do
gut,good
neu,new,
groß,big
alt,old
klein,small
Zeit,time
Jahr,year
Tag,day
Mann,man
Frau,woman
Kind,child
Hand,hand
Welt,world
Haus,house
Land,country
Leben,life
Arbeit,work
Frage,question
Weg,way
Schule,school
Stadt,city
Wasser,water
Buch,book
Geld,money
Essen,food
Familie,family
Freund,friend
Stimme,voice
Herz,heart
Kopf,head
Auge,eye
Mund,mouth
Nacht,night
Morgen,morning
Abend,evening
hier,here
dort,there
jetzt,now
dann,then
noch,still
auch,also
schon,already
nur,only
sehr,very
so,so
wie,how
was,what
wer,who
wo,where
wann,when
warum,why
nicht,not
ja,yes
nein,no
bitte,please
danke,thank you
Entschuldigung,excuse me
vielleicht,maybe
immer,always
nie,never
oft,often
manchmal,sometimes
heute,today
gestern,yesterday
morgen,tomorrow
Straße,street
Auto,car
Zug,train
Flugzeug,airplane
Telefon,phone
Computer,computer
Musik,music
Sport,sport
Farbe,color
Tier,animal
