Japanese,English
ありがとう,thank you
おはよう,good morning
こんにちは,hello
さようなら,goodbye
はい,yes
いいえ,no
すみません,excuse me
おねがいします,please
わかりました,understood
たべる,to eat
のむ,to drink
みる,to see
きく,to listen
はなす,to speak
かく,to write
よむ,to read
いく,to go
くる,to come
する,to do
いる,to be
ある,to exist
おおきい,big
ちいさい,small
あたらしい,new
ふるい,old
たかい,expensive
やすい,cheap
はやい,fast
おそい,slow
むずかしい,difficult
やさしい,easy
たのしい,fun
かなしい,sad
うれしい,happy
じかん,time
ねん,year
ひ,day
おとこ,man
おんな,woman
こども,child
て,hand
せかい,world
いえ,house
くに,country
いのち,life
しごと,work
がっこう,school
まち,city
みず,water
ほん,book
おかね,money
たべもの,food
かぞく,family
ともだち,friend
こえ,voice
こころ,heart
あたま,head
め,eye
くち,mouth
よる,night
あさ,morning
ばん,evening
ここ,here
そこ,there
いま,now
いつも,always
けっして,never
きょう,today
きのう,yesterday
あした,tomorrow
くるま,car
でんしゃ,train
ひこうき,airplane
でんわ,phone
おんがく,music
いろ,color
どうぶつ,animal
