Hindi,English
नमस्ते,hello
धन्यवाद,thank you
हाँ,yes
नहीं,no
कृपया,please
माफ़ करना,excuse me
अच्छा,good
बुरा,bad
बड़ा,big
छोटा,small
नया,new
पुराना,old
खाना,food
पानी,water
घर,house
परिवार,family
दोस्त,friend
समय,time
साल,year
दिन,day
आदमी,man
औरत,woman
बच्चा,child
दुनिया,world
देश,country
जीवन,life
काम,work
स्कूल,school
शहर,city
किताब,book
पैसा,money
दिल,heart
सिर,head
आँख,eye
मुँह,mouth
रात,night
सुबह,morning
शाम,evening
यहाँ,here
वहाँ,there
अभी,now
हमेशा,always
कभी नहीं,never
आज,today
कल,yesterday
कल,tomorrow
गाड़ी,car
ट्रेन,train
हवाई जहाज़,airplane
फ़ोन,phone
संगीत,music
रंग,color
जानवर,animal
जाना,to go
आना,to come
देखना,to see
सुनना,to listen
बोलना,to speak
खाना,to eat
पीना,to drink
पढ़ना,to read
लिखना,to write
करना,to do
होना,to be
सोचना,to think
समझना,to understand
मिलना,to meet
खेलना,to play
सोना,to sleep
उठना,to wake up
बैठना,to sit
चलना,to walk
दौड़ना,to run
